date,close,date,high,low,open,volume
2016-06-01T09:15:00+0530,221.55,2016-06-01T09:15:00+0530,221.73,221.0,221.64,385972
2016-06-01T09:20:00+0530,221.45,2016-06-01T09:20:00+0530,221.59,220.64,221.55,317139
2016-06-01T09:25:00+0530,221.45,2016-06-01T09:25:00+0530,222.0,221.14,221.45,222861
2016-06-01T09:30:00+0530,221.41,2016-06-01T09:30:00+0530,221.95,221.18,221.45,182026
2016-06-01T09:35:00+0530,221.45,2016-06-01T09:35:00+0530,221.55,221.09,221.41,110336
2016-06-01T09:40:00+0530,221.5,2016-06-01T09:40:00+0530,221.82,221.41,221.5,103752
2016-06-01T09:45:00+0530,221.59,2016-06-01T09:45:00+0530,221.91,221.45,221.5,108174
2016-06-01T09:50:00+0530,221.68,2016-06-01T09:50:00+0530,221.91,221.55,221.59,115775
2016-06-01T09:55:00+0530,221.82,2016-06-01T09:55:00+0530,222.05,221.55,221.73,153690
2016-06-01T10:00:00+0530,222.23,2016-06-01T10:00:00+0530,222.36,221.59,221.73,213826
2016-06-01T10:05:00+0530,221.91,2016-06-01T10:05:00+0530,222.18,221.64,222.18,149647
2016-06-01T10:10:00+0530,221.77,2016-06-01T10:10:00+0530,222.0,221.77,221.82,96771
2016-06-01T10:15:00+0530,221.77,2016-06-01T10:15:00+0530,222.0,221.59,221.82,88051
2016-06-01T10:20:00+0530,221.91,2016-06-01T10:20:00+0530,222.0,221.77,221.77,88862
2016-06-01T10:25:00+0530,222.14,2016-06-01T10:25:00+0530,222.23,221.91,221.91,135145
2016-06-01T10:30:00+0530,222.95,2016-06-01T10:30:00+0530,222.95,222.05,222.23,375899
2016-06-01T10:35:00+0530,221.86,2016-06-01T10:35:00+0530,223.14,221.68,222.91,367675
2016-06-01T10:40:00+0530,222.05,2016-06-01T10:40:00+0530,222.27,221.77,221.91,106805
2016-06-01T10:45:00+0530,222.0,2016-06-01T10:45:00+0530,222.23,221.91,222.05,99886
2016-06-01T10:50:00+0530,221.36,2016-06-01T10:50:00+0530,222.14,221.36,222.0,124422
2016-06-01T10:55:00+0530,221.27,2016-06-01T10:55:00+0530,221.45,220.77,221.36,193059
2016-06-01T11:00:00+0530,221.32,2016-06-01T11:00:00+0530,221.55,221.09,221.27,88528
2016-06-01T11:05:00+0530,221.18,2016-06-01T11:05:00+0530,221.41,221.09,221.32,71498
2016-06-01T11:10:00+0530,221.09,2016-06-01T11:10:00+0530,221.41,221.05,221.27,65812
2016-06-01T11:15:00+0530,221.45,2016-06-01T11:15:00+0530,221.73,221.0,221.14,92510
2016-06-01T11:20:00+0530,221.36,2016-06-01T11:20:00+0530,221.59,221.36,221.45,35548
2016-06-01T11:25:00+0530,220.73,2016-06-01T11:25:00+0530,221.45,220.64,221.36,112702
2016-06-01T11:30:00+0530,220.82,2016-06-01T11:30:00+0530,220.91,220.5,220.82,88852
2016-06-01T11:35:00+0530,220.86,2016-06-01T11:35:00+0530,220.91,220.73,220.82,46219
2016-06-01T11:40:00+0530,220.5,2016-06-01T11:40:00+0530,220.86,220.23,220.82,140380
2016-06-01T11:45:00+0530,220.91,2016-06-01T11:45:00+0530,221.18,220.41,220.5,93108
2016-06-01T11:50:00+0530,220.0,2016-06-01T11:50:00+0530,220.91,219.91,220.91,148769
2016-06-01T11:55:00+0530,220.09,2016-06-01T11:55:00+0530,220.55,220.0,220.0,141710
2016-06-01T12:00:00+0530,220.73,2016-06-01T12:00:00+0530,220.91,220.0,220.09,106686
2016-06-01T12:05:00+0530,220.82,2016-06-01T12:05:00+0530,220.82,220.27,220.68,61829
2016-06-01T12:10:00+0530,220.68,2016-06-01T12:10:00+0530,221.09,220.55,220.82,72603
2016-06-01T12:15:00+0530,220.36,2016-06-01T12:15:00+0530,220.73,220.36,220.68,47147
2016-06-01T12:20:00+0530,220.14,2016-06-01T12:20:00+0530,220.45,220.0,220.36,101638
2016-06-01T12:25:00+0530,220.09,2016-06-01T12:25:00+0530,220.32,220.05,220.14,42715
2016-06-01T12:30:00+0530,220.09,2016-06-01T12:30:00+0530,220.45,220.05,220.09,51689
2016-06-01T12:35:00+0530,219.82,2016-06-01T12:35:00+0530,220.14,219.82,220.09,142352
2016-06-01T12:40:00+0530,219.73,2016-06-01T12:40:00+0530,220.0,219.55,219.86,149590
2016-06-01T12:45:00+0530,219.68,2016-06-01T12:45:00+0530,219.86,219.55,219.73,102353
2016-06-01T12:50:00+0530,219.86,2016-06-01T12:50:00+0530,219.95,219.59,219.68,80633
2016-06-01T12:55:00+0530,219.95,2016-06-01T12:55:00+0530,220.14,219.86,219.86,71248
2016-06-01T13:00:00+0530,220.14,2016-06-01T13:00:00+0530,220.18,219.95,219.95,44633
2016-06-01T13:05:00+0530,220.18,2016-06-01T13:05:00+0530,220.23,220.0,220.14,36544
2016-06-01T13:10:00+0530,220.55,2016-06-01T13:10:00+0530,220.82,220.09,220.18,85997
2016-06-01T13:15:00+0530,220.59,2016-06-01T13:15:00+0530,220.82,220.5,220.55,84157
2016-06-01T13:20:00+0530,220.77,2016-06-01T13:20:00+0530,220.91,220.36,220.64,81754
2016-06-01T13:25:00+0530,220.23,2016-06-01T13:25:00+0530,220.77,220.0,220.73,224550
2016-06-01T13:30:00+0530,220.14,2016-06-01T13:30:00+0530,220.45,220.0,220.23,67123
2016-06-01T13:35:00+0530,220.86,2016-06-01T13:35:00+0530,220.91,220.18,220.18,85274
